Species,Family,Order,DR,Insularity,MigratoryBehavior,DietBreadth,HabitatBreadth,BodySize,BrainSize,BrainSampleSize,RelativeBrainSize,BrainSD,BrainReference
Ibidorhyncha_struthersii,Ibidorhynchidae,CHARADRIIFORMES,0.025,continental,migrant,NA,0.999,294,2.3,1,-0.062,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Ichthyophaga_humilis,Accipitridae,ACCIPITRIFORMES,0.072,continental,resident,NA,2.05,782.5,8.6,1,0.708,0.071,"Fristoe, T. S., Iwaniuk, A. N., & Botero, C. A. (2017). Big brains stabilize populations and facilitate colonization of variable habitats in birds. Nature ecology & evolution, 1(11), 1706."
Icteria_virens,Parulidae,PASSERIFORMES,0.059,continental,migrant,0.071,3.523,24.9,0.91,8,0.396,0.085,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Icterus_galbula,Icteridae,PASSERIFORMES,0.584,continental,migrant,0.056,3.687,33.27,1.13,10,0.45,0.056,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Icterus_spurius,Icteridae,PASSERIFORMES,0.229,continental,migrant,0.125,2.574,19.9,0.86,6,0.465,0.062,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ictinia_mississippiensis,Accipitridae,ACCIPITRIFORMES,0.09,continental,migrant,NA,2.922,278,3.69,3,0.443,0.095,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ifrita_kowaldi,Orthonychidae,PASSERIFORMES,0.037,continental,resident,0.024,1,28,1.25,1,0.647,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Illadopsis_fulvescens,Timaliidae,PASSERIFORMES,0.121,continental,resident,NA,2.733,24.4,1.19,4,0.675,0.095,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Indicator_minor,Indicatoridae,PICIFORMES,0.162,continental,resident,0.118,3.782,28.2,0.67,2,0.02,0.139,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu-Austral Ornithology, 114(2), 160-170."
Irediparra_gallinacea,Jacanidae,CHARADRIIFORMES,0.043,continental,resident,0.155,3.804,102.55,1.13,4,-0.182,0.089,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Irena_puella,Irenidae,PASSERIFORMES,0.046,continental,resident,0.043,1.47,66.4,1.36,10,0.247,0.06,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Iridosornis_rufivertex,Thraupidae,PASSERIFORMES,0.259,continental,resident,0.175,1,22.25,1.33,4,0.838,0.074,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ithaginis_cruentus,Phasianidae,GALLIFORMES,0.048,continental,resident,NA,1.519,537.5,3.18,8,-0.076,0.057,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ixobrychus_exilis,Ardeidae,PELECANIFORMES,0.043,continental,migrant,NA,4.249,80.4,1.28,8,0.079,0.046,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ixobrychus_flavicollis,Ardeidae,PELECANIFORMES,0.041,continental,migrant,NA,6.931,321,2.6,1,0.012,0.071,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu-Austral Ornithology, 114(2), 160-170."
Ixobrychus_minutus,Ardeidae,PELECANIFORMES,0.039,continental,migrant,0.02,5.657,58,1.65,1,0.517,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Ixos_philippinus,Pycnonotidae,PASSERIFORMES,0.13,insular,resident,0.063,2.726,36.89,1.12,10,0.383,0.041,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Jabiru_mycteria,Ciconiidae,CICONIIFORMES,0.042,continental,resident,NA,2.131,6054.5,23.5,4,0.566,0.093,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Jacamerops_aureus,Galbulidae,PICIFORMES,0.028,continental,resident,0.003,2.502,62.9,1.11,3,0.075,0.047,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Jacana_spinosa,Jacanidae,CHARADRIIFORMES,0.069,continental,resident,0.059,0.999,95.45,1.38,9,0.058,0.049,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Junco_hyemalis,Emberizidae,PASSERIFORMES,0.4,continental,migrant,0.175,2.989,20.1,0.83,10,0.424,0.047,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Jynx_torquilla,Picidae,PICIFORMES,0.053,continental,migrant,0.025,6.01,36.5,0.94,10,0.214,0.061,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Kaupifalco_monogrammicus,Accipitridae,ACCIPITRIFORMES,0.035,continental,resident,NA,2.44,280.5,4.03,7,0.526,0.052,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ketupa_ketupu,Strigidae,STRIGIFORMES,0.132,continental,resident,NA,6.866,770,12.75,1,1.111,0.071,"Iwaniuk, A. N., & Wylie, D. R. (2006). The evolution of stereopsis and the Wulst in caprimulgiform birds: a comparative analysis. Journal of Comparative Physiology A, 192(12), 1313-1326."
